,ID,Label,Count,Year Range
17855,european space agency (2015-2017),european space agency (2015-2017),98,2015-2017
17856,atrial fibrillation (2015-2017),atrial fibrillation (2015-2017),98,2015-2017
17857,pattern recognition (1980-1984),pattern recognition (1980-1984),97,1980-1984
17858,partial order (1990-1994),partial order (1990-1994),97,1990-1994
17859,obstacle avoidance (1990-1994),obstacle avoidance (1990-1994),97,1990-1994
17860,parameter space (1990-1994),parameter space (1990-1994),97,1990-1994
17861,current research (1990-1994),current research (1990-1994),97,1990-1994
17862,probabilistic model (1990-1994),probabilistic model (1990-1994),97,1990-1994
17863,maximum degree (1990-1994),maximum degree (1990-1994),97,1990-1994
17864,conceptual model (1990-1994),conceptual model (1990-1994),97,1990-1994
17865,network flow (1990-1994),network flow (1990-1994),97,1990-1994
17866,connected graph (1990-1994),connected graph (1990-1994),97,1990-1994
17867,rough sets (1995-1999),rough sets (1995-1999),97,1995-1999
17868,inductive logic programming (1995-1999),inductive logic programming (1995-1999),97,1995-1999
17869,learning methods (1995-1999),learning methods (1995-1999),97,1995-1999
17870,conceptual design (1995-1999),conceptual design (1995-1999),97,1995-1999
17871,segmentation method (1995-1999),segmentation method (1995-1999),97,1995-1999
17872,knowledge representation (1995-1999),knowledge representation (1995-1999),97,1995-1999
17873,artificial neural networks anns (1995-1999),artificial neural networks anns (1995-1999),97,1995-1999
17874,multidimensional data (1995-1999),multidimensional data (1995-1999),97,1995-1999
17875,group members (1995-1999),group members (1995-1999),97,1995-1999
17876,constraint programming (1995-1999),constraint programming (1995-1999),97,1995-1999
17877,speech recognizer (1995-1999),speech recognizer (1995-1999),97,1995-1999
17878,parallel application (1995-1999),parallel application (1995-1999),97,1995-1999
17879,multilayer perceptron mlp (1995-1999),multilayer perceptron mlp (1995-1999),97,1995-1999
17880,adaptive controller (1995-1999),adaptive controller (1995-1999),97,1995-1999
17881,rapid growth (1995-1999),rapid growth (1995-1999),97,1995-1999
17882,input vector (1995-1999),input vector (1995-1999),97,1995-1999
17883,preprocessing step (1995-1999),preprocessing step (1995-1999),97,1995-1999
17884,fault injection (1995-1999),fault injection (1995-1999),97,1995-1999
17885,large circuits (1995-1999),large circuits (1995-1999),97,1995-1999
17886,authors introduce (1995-1999),authors introduce (1995-1999),97,1995-1999
17887,circuit simulation (1995-1999),circuit simulation (1995-1999),97,1995-1999
17888,pour les (2000-2004),pour les (2000-2004),97,2000-2004
17889,data access (2000-2004),data access (2000-2004),97,2000-2004
17890,grid middleware (2000-2004),grid middleware (2000-2004),97,2000-2004
17891,grid service (2000-2004),grid service (2000-2004),97,2000-2004
17892,robust controller (2000-2004),robust controller (2000-2004),97,2000-2004
17893,binary decision diagrams bdds (2000-2004),binary decision diagrams bdds (2000-2004),97,2000-2004
17894,definition language (2000-2004),definition language (2000-2004),97,2000-2004
17895,classification model (2000-2004),classification model (2000-2004),97,2000-2004
17896,training algorithms (2000-2004),training algorithms (2000-2004),97,2000-2004
17897,instruction scheduling (2000-2004),instruction scheduling (2000-2004),97,2000-2004
17898,streaming applications (2000-2004),streaming applications (2000-2004),97,2000-2004
17899,field programmable gate arrays (2000-2004),field programmable gate arrays (2000-2004),97,2000-2004
17900,joint angles (2000-2004),joint angles (2000-2004),97,2000-2004
17901,power analysis (2000-2004),power analysis (2000-2004),97,2000-2004
17902,035 spl mum (2000-2004),035 spl mum (2000-2004),97,2000-2004
17903,network dynamics (2000-2004),network dynamics (2000-2004),97,2000-2004
17904,process algebras (2000-2004),process algebras (2000-2004),97,2000-2004
17905,modern software (2000-2004),modern software (2000-2004),97,2000-2004
17906,intelligent control (2005-2009),intelligent control (2005-2009),97,2005-2009
17907,resource broker (2005-2009),resource broker (2005-2009),97,2005-2009
17908,continuous query (2005-2009),continuous query (2005-2009),97,2005-2009
17909,hearing aid (2005-2009),hearing aid (2005-2009),97,2005-2009
17910,locally linear embedding (2005-2009),locally linear embedding (2005-2009),97,2005-2009
17911,static cmos (2005-2009),static cmos (2005-2009),97,2005-2009
17912,round trip time (2005-2009),round trip time (2005-2009),97,2005-2009
17913,attack traffic (2005-2009),attack traffic (2005-2009),97,2005-2009
17914,reference voltage (2005-2009),reference voltage (2005-2009),97,2005-2009
17915,fading environments (2005-2009),fading environments (2005-2009),97,2005-2009
17916,anterior cingulate cortex (2005-2009),anterior cingulate cortex (2005-2009),97,2005-2009
17917,overlay topology (2005-2009),overlay topology (2005-2009),97,2005-2009
17918,registration algorithms (2005-2009),registration algorithms (2005-2009),97,2005-2009
17919,preferential attachment (2005-2009),preferential attachment (2005-2009),97,2005-2009
17920,equal power allocation (2005-2009),equal power allocation (2005-2009),97,2005-2009
17921,solid state (2005-2009),solid state (2005-2009),97,2005-2009
17922,atomic force microscopy (2005-2009),atomic force microscopy (2005-2009),97,2005-2009
17923,situation calculus (2010-2014),situation calculus (2010-2014),97,2010-2014
17924,a systematic mapping study (2010-2014),a systematic mapping study (2010-2014),97,2010-2014
17925,ubiquitous applications (2010-2014),ubiquitous applications (2010-2014),97,2010-2014
17926,left ventricle lv (2010-2014),left ventricle lv (2010-2014),97,2010-2014
17927,reward functions (2010-2014),reward functions (2010-2014),97,2010-2014
17928,efficient hardware implementation (2010-2014),efficient hardware implementation (2010-2014),97,2010-2014
17929,naive bayes nb (2010-2014),naive bayes nb (2010-2014),97,2010-2014
17930,user similarity (2010-2014),user similarity (2010-2014),97,2010-2014
17931,pitch angle (2010-2014),pitch angle (2010-2014),97,2010-2014
17932,packet delivery ratio pdr (2010-2014),packet delivery ratio pdr (2010-2014),97,2010-2014
17933,intuitionistic logic (2010-2014),intuitionistic logic (2010-2014),97,2010-2014
17934,motion planner (2010-2014),motion planner (2010-2014),97,2010-2014
17935,structure from motion sfm (2010-2014),structure from motion sfm (2010-2014),97,2010-2014
17936,low power design (2010-2014),low power design (2010-2014),97,2010-2014
17937,primary studies (2010-2014),primary studies (2010-2014),97,2010-2014
17938,node deployment (2010-2014),node deployment (2010-2014),97,2010-2014
17939,fractional calculus (2010-2014),fractional calculus (2010-2014),97,2010-2014
17940,plane graph (2010-2014),plane graph (2010-2014),97,2010-2014
17941,relay beamforming (2010-2014),relay beamforming (2010-2014),97,2010-2014
17942,bit error probability bep (2010-2014),bit error probability bep (2010-2014),97,2010-2014
17943,achievable scheme (2010-2014),achievable scheme (2010-2014),97,2010-2014
17944,decoder architecture (2010-2014),decoder architecture (2010-2014),97,2010-2014
17945,damage assessment (2010-2014),damage assessment (2010-2014),97,2010-2014
17946,packet reception (2010-2014),packet reception (2010-2014),97,2010-2014
17947,frequency division multiplexing (2010-2014),frequency division multiplexing (2010-2014),97,2010-2014
17948,algebraic riccati equation (2010-2014),algebraic riccati equation (2010-2014),97,2010-2014
17949,strong convergence theorems (2010-2014),strong convergence theorems (2010-2014),97,2010-2014
17950,direction of arrival doa (2015-2017),direction of arrival doa (2015-2017),97,2015-2017
17951,decision processes (2015-2017),decision processes (2015-2017),97,2015-2017
17952,map estimation (2015-2017),map estimation (2015-2017),97,2015-2017
17953,delay constraint (2015-2017),delay constraint (2015-2017),97,2015-2017
17954,sdn architecture (2015-2017),sdn architecture (2015-2017),97,2015-2017
17955,randomly deployed (2015-2017),randomly deployed (2015-2017),97,2015-2017
17956,community detection algorithms (2015-2017),community detection algorithms (2015-2017),97,2015-2017
17957,lyapunov optimization (2015-2017),lyapunov optimization (2015-2017),97,2015-2017
17958,massive open online courses (2015-2017),massive open online courses (2015-2017),97,2015-2017
17959,ann model (2015-2017),ann model (2015-2017),97,2015-2017
17960,networking paradigm (2015-2017),networking paradigm (2015-2017),97,2015-2017
17961,code reuse (2015-2017),code reuse (2015-2017),97,2015-2017
17962,natural languages (2015-2017),natural languages (2015-2017),97,2015-2017
17963,type methods (2015-2017),type methods (2015-2017),97,2015-2017
17964,technical debt (2015-2017),technical debt (2015-2017),97,2015-2017
17965,unknown input (2015-2017),unknown input (2015-2017),97,2015-2017
17966,adaptive video streaming (2015-2017),adaptive video streaming (2015-2017),97,2015-2017
17967,fifth generation 5g (2015-2017),fifth generation 5g (2015-2017),97,2015-2017
17968,network functions virtualization nfv (2015-2017),network functions virtualization nfv (2015-2017),97,2015-2017
17969,user interfaces (1985-1989),user interfaces (1985-1989),96,1985-1989
17970,data model (1985-1989),data model (1985-1989),96,1985-1989
17971,parallel applications (1990-1994),parallel applications (1990-1994),96,1990-1994
17972,network management (1990-1994),network management (1990-1994),96,1990-1994
17973,previous algorithms (1990-1994),previous algorithms (1990-1994),96,1990-1994
17974,circuit simulation (1990-1994),circuit simulation (1990-1994),96,1990-1994
17975,rate of convergence (1990-1994),rate of convergence (1990-1994),96,1990-1994
17976,positive integers (1995-1999),positive integers (1995-1999),96,1995-1999
17977,motion detection (1995-1999),motion detection (1995-1999),96,1995-1999
17978,extremely difficult (1995-1999),extremely difficult (1995-1999),96,1995-1999
17979,feasible solution (1995-1999),feasible solution (1995-1999),96,1995-1999
17980,iterative process (1995-1999),iterative process (1995-1999),96,1995-1999
17981,geometric constraints (1995-1999),geometric constraints (1995-1999),96,1995-1999
17982,virtual machine (1995-1999),virtual machine (1995-1999),96,1995-1999
17983,task graphs (1995-1999),task graphs (1995-1999),96,1995-1999
17984,personal communication (1995-1999),personal communication (1995-1999),96,1995-1999
17985,optical character recognition (1995-1999),optical character recognition (1995-1999),96,1995-1999
17986,real robot (1995-1999),real robot (1995-1999),96,1995-1999
17987,decoding algorithm (1995-1999),decoding algorithm (1995-1999),96,1995-1999
17988,learning rate (1995-1999),learning rate (1995-1999),96,1995-1999
17989,end user (1995-1999),end user (1995-1999),96,1995-1999
17990,blind source separation (1995-1999),blind source separation (1995-1999),96,1995-1999
17991,dynamic reconfiguration (1995-1999),dynamic reconfiguration (1995-1999),96,1995-1999
17992,training samples (1995-1999),training samples (1995-1999),96,1995-1999
17993,predicate logic (1995-1999),predicate logic (1995-1999),96,1995-1999
17994,message passing interface mpi (2000-2004),message passing interface mpi (2000-2004),96,2000-2004
17995,interaction protocols (2000-2004),interaction protocols (2000-2004),96,2000-2004
17996,social interactions (2000-2004),social interactions (2000-2004),96,2000-2004
17997,web design (2000-2004),web design (2000-2004),96,2000-2004
17998,web usage (2000-2004),web usage (2000-2004),96,2000-2004
17999,linear matrix inequalities lmis (2000-2004),linear matrix inequalities lmis (2000-2004),96,2000-2004
18000,product family (2000-2004),product family (2000-2004),96,2000-2004
18001,moving target (2000-2004),moving target (2000-2004),96,2000-2004
18002,general packet radio service (2000-2004),general packet radio service (2000-2004),96,2000-2004
18003,robotic manipulator (2000-2004),robotic manipulator (2000-2004),96,2000-2004
18004,virtual object (2000-2004),virtual object (2000-2004),96,2000-2004
18005,multiple classifier (2000-2004),multiple classifier (2000-2004),96,2000-2004
18006,link failure (2000-2004),link failure (2000-2004),96,2000-2004
18007,business intelligence (2000-2004),business intelligence (2000-2004),96,2000-2004
18008,business logic (2000-2004),business logic (2000-2004),96,2000-2004
18009,low delay (2000-2004),low delay (2000-2004),96,2000-2004
18010,noisy channel (2000-2004),noisy channel (2000-2004),96,2000-2004
18011,routing overhead (2000-2004),routing overhead (2000-2004),96,2000-2004
18012,serially concatenated (2000-2004),serially concatenated (2000-2004),96,2000-2004
18013,knowledge discovery and data mining (2005-2009),knowledge discovery and data mining (2005-2009),96,2005-2009
18014,relevance ranking (2005-2009),relevance ranking (2005-2009),96,2005-2009
18015,neural gas (2005-2009),neural gas (2005-2009),96,2005-2009
18016,intelligent tutoring system (2005-2009),intelligent tutoring system (2005-2009),96,2005-2009
18017,secret message (2005-2009),secret message (2005-2009),96,2005-2009
18018,direction of arrival doa (2005-2009),direction of arrival doa (2005-2009),96,2005-2009
18019,standard cmos technology (2005-2009),standard cmos technology (2005-2009),96,2005-2009
18020,transcription factors tfs (2005-2009),transcription factors tfs (2005-2009),96,2005-2009
18021,diffusion tensor imaging (2005-2009),diffusion tensor imaging (2005-2009),96,2005-2009
18022,target localization (2005-2009),target localization (2005-2009),96,2005-2009
18023,candidate generation (2010-2014),candidate generation (2010-2014),96,2010-2014
18024,latent semantic indexing (2010-2014),latent semantic indexing (2010-2014),96,2010-2014
18025,efficient resource utilization (2010-2014),efficient resource utilization (2010-2014),96,2010-2014
18026,trust region (2010-2014),trust region (2010-2014),96,2010-2014
18027,grid scheduling (2010-2014),grid scheduling (2010-2014),96,2010-2014
18028,requirements engineers (2010-2014),requirements engineers (2010-2014),96,2010-2014
18029,totally ordered (2010-2014),totally ordered (2010-2014),96,2010-2014
18030,solar panels (2010-2014),solar panels (2010-2014),96,2010-2014
18031,query optimizer (2010-2014),query optimizer (2010-2014),96,2010-2014
18032,face region (2010-2014),face region (2010-2014),96,2010-2014
18033,spatial smoothing (2010-2014),spatial smoothing (2010-2014),96,2010-2014
18034,embedded control systems (2010-2014),embedded control systems (2010-2014),96,2010-2014
18035,load management (2010-2014),load management (2010-2014),96,2010-2014
18036,social search (2010-2014),social search (2010-2014),96,2010-2014
18037,data mining and knowledge discovery (2010-2014),data mining and knowledge discovery (2010-2014),96,2010-2014
18038,mailing lists (2010-2014),mailing lists (2010-2014),96,2010-2014
18039,code search (2010-2014),code search (2010-2014),96,2010-2014
18040,consumed power (2010-2014),consumed power (2010-2014),96,2010-2014
18041,time division duplex tdd (2010-2014),time division duplex tdd (2010-2014),96,2010-2014
18042,cooperative relay networks (2010-2014),cooperative relay networks (2010-2014),96,2010-2014
18043,speech distortion (2010-2014),speech distortion (2010-2014),96,2010-2014
18044,localization methods (2015-2017),localization methods (2015-2017),96,2015-2017
18045,water vapor (2015-2017),water vapor (2015-2017),96,2015-2017
18046,routing strategy (2015-2017),routing strategy (2015-2017),96,2015-2017
18047,object appearance (2015-2017),object appearance (2015-2017),96,2015-2017
18048,decision support system dss (2015-2017),decision support system dss (2015-2017),96,2015-2017
18049,histogram of oriented gradients (2015-2017),histogram of oriented gradients (2015-2017),96,2015-2017
18050,wearable technologies (2015-2017),wearable technologies (2015-2017),96,2015-2017
18051,text summarization (2015-2017),text summarization (2015-2017),96,2015-2017
18052,fifth generation (2015-2017),fifth generation (2015-2017),96,2015-2017
18053,competitive advantages (2015-2017),competitive advantages (2015-2017),96,2015-2017
18054,robust solutions (2015-2017),robust solutions (2015-2017),96,2015-2017
18055,financial time series (2015-2017),financial time series (2015-2017),96,2015-2017
18056,packet transmissions (2015-2017),packet transmissions (2015-2017),96,2015-2017
18057,pose variations (2015-2017),pose variations (2015-2017),96,2015-2017
18058,5g mobile (2015-2017),5g mobile (2015-2017),96,2015-2017
18059,cyclic prefix (2015-2017),cyclic prefix (2015-2017),96,2015-2017
18060,user reviews (2015-2017),user reviews (2015-2017),96,2015-2017
18061,recent research (1990-1994),recent research (1990-1994),95,1990-1994
18062,integrity constraints (1990-1994),integrity constraints (1990-1994),95,1990-1994
18063,constant factor (1990-1994),constant factor (1990-1994),95,1990-1994
18064,original image (1990-1994),original image (1990-1994),95,1990-1994
18065,arrival process (1990-1994),arrival process (1990-1994),95,1990-1994
18066,user interface design (1995-1999),user interface design (1995-1999),95,1995-1999
18067,default logic (1995-1999),default logic (1995-1999),95,1995-1999
18068,linear models (1995-1999),linear models (1995-1999),95,1995-1999
18069,crcw pram (1995-1999),crcw pram (1995-1999),95,1995-1999
18070,complexity results (1995-1999),complexity results (1995-1999),95,1995-1999
18071,object tracking (1995-1999),object tracking (1995-1999),95,1995-1999
18072,benchmark suite (1995-1999),benchmark suite (1995-1999),95,1995-1999
18073,reusable components (1995-1999),reusable components (1995-1999),95,1995-1999
18074,approximation scheme (1995-1999),approximation scheme (1995-1999),95,1995-1999
18075,search strategies (1995-1999),search strategies (1995-1999),95,1995-1999
18076,gaussian elimination (1995-1999),gaussian elimination (1995-1999),95,1995-1999
18077,error bound (1995-1999),error bound (1995-1999),95,1995-1999
18078,coding algorithm (1995-1999),coding algorithm (1995-1999),95,1995-1999
18079,benchmark programs (1995-1999),benchmark programs (1995-1999),95,1995-1999
18080,singular value decomposition (1995-1999),singular value decomposition (1995-1999),95,1995-1999
18081,banach space (2000-2004),banach space (2000-2004),95,2000-2004
18082,voice quality (2000-2004),voice quality (2000-2004),95,2000-2004
18083,classification models (2000-2004),classification models (2000-2004),95,2000-2004
18084,buyers and sellers (2000-2004),buyers and sellers (2000-2004),95,2000-2004
18085,polynomially solvable (2000-2004),polynomially solvable (2000-2004),95,2000-2004
18086,grid application (2000-2004),grid application (2000-2004),95,2000-2004
18087,image fusion (2000-2004),image fusion (2000-2004),95,2000-2004
18088,collaborative virtual environments (2000-2004),collaborative virtual environments (2000-2004),95,2000-2004
18089,visualization technique (2000-2004),visualization technique (2000-2004),95,2000-2004
18090,web search engine (2000-2004),web search engine (2000-2004),95,2000-2004
18091,audio coding (2000-2004),audio coding (2000-2004),95,2000-2004
18092,software product (2000-2004),software product (2000-2004),95,2000-2004
18093,predictive performance (2000-2004),predictive performance (2000-2004),95,2000-2004
18094,multiuser detectors (2000-2004),multiuser detectors (2000-2004),95,2000-2004
18095,pid controller (2000-2004),pid controller (2000-2004),95,2000-2004
18096,receive antenna (2000-2004),receive antenna (2000-2004),95,2000-2004
18097,spatial multiplexing (2000-2004),spatial multiplexing (2000-2004),95,2000-2004
18098,packet processing (2000-2004),packet processing (2000-2004),95,2000-2004
18099,robust watermarking (2000-2004),robust watermarking (2000-2004),95,2000-2004
18100,word recognition (2005-2009),word recognition (2005-2009),95,2005-2009
18101,existing web services (2005-2009),existing web services (2005-2009),95,2005-2009
18102,constraint solvers (2005-2009),constraint solvers (2005-2009),95,2005-2009
18103,word error rate wer (2005-2009),word error rate wer (2005-2009),95,2005-2009
18104,successful transmission (2005-2009),successful transmission (2005-2009),95,2005-2009
18105,dynamic power management (2005-2009),dynamic power management (2005-2009),95,2005-2009
18106,user interface ui (2005-2009),user interface ui (2005-2009),95,2005-2009
18107,software project (2005-2009),software project (2005-2009),95,2005-2009
18108,secure group communication (2005-2009),secure group communication (2005-2009),95,2005-2009
18109,mobile sink (2005-2009),mobile sink (2005-2009),95,2005-2009
18110,message latency (2005-2009),message latency (2005-2009),95,2005-2009
18111,noncooperative game (2005-2009),noncooperative game (2005-2009),95,2005-2009
18112,network partitions (2005-2009),network partitions (2005-2009),95,2005-2009
18113,motion sequences (2005-2009),motion sequences (2005-2009),95,2005-2009
18114,unstructured meshes (2005-2009),unstructured meshes (2005-2009),95,2005-2009
18115,parallel interference cancellation (2005-2009),parallel interference cancellation (2005-2009),95,2005-2009
18116,ngs data (2010-2014),ngs data (2010-2014),95,2010-2014
18117,feature detectors (2010-2014),feature detectors (2010-2014),95,2010-2014
18118,motion sequences (2010-2014),motion sequences (2010-2014),95,2010-2014
18119,video stabilization (2010-2014),video stabilization (2010-2014),95,2010-2014
18120,overcomplete dictionary (2010-2014),overcomplete dictionary (2010-2014),95,2010-2014
18121,particle swarm algorithm (2010-2014),particle swarm algorithm (2010-2014),95,2010-2014
18122,convex formulation (2010-2014),convex formulation (2010-2014),95,2010-2014
18123,data deduplication (2010-2014),data deduplication (2010-2014),95,2010-2014
18124,virtual machine migration (2010-2014),virtual machine migration (2010-2014),95,2010-2014
18125,fiber orientation (2010-2014),fiber orientation (2010-2014),95,2010-2014
18126,deep brain stimulation (2010-2014),deep brain stimulation (2010-2014),95,2010-2014
18127,kernel principal component analysis (2010-2014),kernel principal component analysis (2010-2014),95,2010-2014
18128,echo state networks (2010-2014),echo state networks (2010-2014),95,2010-2014
18129,customer reviews (2010-2014),customer reviews (2010-2014),95,2010-2014
18130,unstructured grids (2010-2014),unstructured grids (2010-2014),95,2010-2014
18131,power flows (2010-2014),power flows (2010-2014),95,2010-2014
18132,penalty method (2010-2014),penalty method (2010-2014),95,2010-2014
18133,total weighted completion time (2010-2014),total weighted completion time (2010-2014),95,2010-2014
18134,legitimate nodes (2010-2014),legitimate nodes (2010-2014),95,2010-2014
18135,higher spectral efficiency (2010-2014),higher spectral efficiency (2010-2014),95,2010-2014
18136,license plate recognition (2010-2014),license plate recognition (2010-2014),95,2010-2014
18137,reference nodes (2010-2014),reference nodes (2010-2014),95,2010-2014
18138,program understanding (2010-2014),program understanding (2010-2014),95,2010-2014
18139,physical phy layer (2010-2014),physical phy layer (2010-2014),95,2010-2014
18140,sift algorithm (2010-2014),sift algorithm (2010-2014),95,2010-2014
18141,missed detection (2010-2014),missed detection (2010-2014),95,2010-2014
18142,multiple links (2010-2014),multiple links (2010-2014),95,2010-2014
18143,custom instructions (2010-2014),custom instructions (2010-2014),95,2010-2014
18144,symbol error probability (2010-2014),symbol error probability (2010-2014),95,2010-2014
18145,cellular users (2010-2014),cellular users (2010-2014),95,2010-2014
18146,phase rotation (2010-2014),phase rotation (2010-2014),95,2010-2014
18147,soil moisture and ocean salinity smos (2010-2014),soil moisture and ocean salinity smos (2010-2014),95,2010-2014
18148,increased activation (2010-2014),increased activation (2010-2014),95,2010-2014
18149,sparse regression (2015-2017),sparse regression (2015-2017),95,2015-2017
18150,uci repository (2015-2017),uci repository (2015-2017),95,2015-2017
18151,orthogonal frequency division multiple access (2015-2017),orthogonal frequency division multiple access (2015-2017),95,2015-2017
18152,compression methods (2015-2017),compression methods (2015-2017),95,2015-2017
18153,project success (2015-2017),project success (2015-2017),95,2015-2017
18154,error correcting (2015-2017),error correcting (2015-2017),95,2015-2017
18155,public key encryption (2015-2017),public key encryption (2015-2017),95,2015-2017
18156,social factors (2015-2017),social factors (2015-2017),95,2015-2017
18157,sequential pattern mining (2015-2017),sequential pattern mining (2015-2017),95,2015-2017
18158,compression technique (2015-2017),compression technique (2015-2017),95,2015-2017
18159,operator splitting (2015-2017),operator splitting (2015-2017),95,2015-2017
18160,bandpass filter (2015-2017),bandpass filter (2015-2017),95,2015-2017
18161,transmission capacity (2015-2017),transmission capacity (2015-2017),95,2015-2017
18162,naive bayesian (2015-2017),naive bayesian (2015-2017),95,2015-2017
18163,social communication (2015-2017),social communication (2015-2017),95,2015-2017
18164,classifier performance (2015-2017),classifier performance (2015-2017),95,2015-2017
18165,computational linguistics (2015-2017),computational linguistics (2015-2017),95,2015-2017
18166,search query (2015-2017),search query (2015-2017),95,2015-2017
18167,asymptotic regime (2015-2017),asymptotic regime (2015-2017),95,2015-2017
18168,salient object (2015-2017),salient object (2015-2017),95,2015-2017
18169,steady states (2015-2017),steady states (2015-2017),95,2015-2017
18170,performance and power consumption (2015-2017),performance and power consumption (2015-2017),95,2015-2017
18171,real hyperspectral (2015-2017),real hyperspectral (2015-2017),95,2015-2017
18172,massively parallel (1985-1989),massively parallel (1985-1989),94,1985-1989
18173,briefly discussed (1990-1994),briefly discussed (1990-1994),94,1990-1994
18174,objective functions (1990-1994),objective functions (1990-1994),94,1990-1994
18175,ray tracing (1990-1994),ray tracing (1990-1994),94,1990-1994
18176,loosely coupled (1990-1994),loosely coupled (1990-1994),94,1990-1994
18177,an empirical study (1990-1994),an empirical study (1990-1994),94,1990-1994
18178,error rates (1990-1994),error rates (1990-1994),94,1990-1994
18179,functional units (1990-1994),functional units (1990-1994),94,1990-1994
18180,predictive accuracy (1995-1999),predictive accuracy (1995-1999),94,1995-1999
18181,randomly selected (1995-1999),randomly selected (1995-1999),94,1995-1999
18182,modal logics (1995-1999),modal logics (1995-1999),94,1995-1999
18183,network load (1995-1999),network load (1995-1999),94,1995-1999
18184,blind separation (1995-1999),blind separation (1995-1999),94,1995-1999
18185,modeling technique (1995-1999),modeling technique (1995-1999),94,1995-1999
18186,linear combinations (1995-1999),linear combinations (1995-1999),94,1995-1999
18187,visual language (1995-1999),visual language (1995-1999),94,1995-1999
18188,decision theory (1995-1999),decision theory (1995-1999),94,1995-1999
18189,task performance (1995-1999),task performance (1995-1999),94,1995-1999
18190,dynamically reconfigurable (1995-1999),dynamically reconfigurable (1995-1999),94,1995-1999
18191,increasingly popular (1995-1999),increasingly popular (1995-1999),94,1995-1999
18192,internal representation (1995-1999),internal representation (1995-1999),94,1995-1999
18193,case tool (1995-1999),case tool (1995-1999),94,1995-1999
18194,metric space (1995-1999),metric space (1995-1999),94,1995-1999
18195,technical issues (1995-1999),technical issues (1995-1999),94,1995-1999
18196,task graph (1995-1999),task graph (1995-1999),94,1995-1999
18197,multilayer perceptrons (1995-1999),multilayer perceptrons (1995-1999),94,1995-1999
18198,abstract machine (1995-1999),abstract machine (1995-1999),94,1995-1999
18199,analysis technique (1995-1999),analysis technique (1995-1999),94,1995-1999
18200,register allocation (1995-1999),register allocation (1995-1999),94,1995-1999
18201,network size (1995-1999),network size (1995-1999),94,1995-1999
18202,convex optimization (1995-1999),convex optimization (1995-1999),94,1995-1999
18203,inverse problems (2000-2004),inverse problems (2000-2004),94,2000-2004
18204,expression profiles (2000-2004),expression profiles (2000-2004),94,2000-2004
18205,finite sets (2000-2004),finite sets (2000-2004),94,2000-2004
18206,joint optimization (2000-2004),joint optimization (2000-2004),94,2000-2004
18207,digital signature (2000-2004),digital signature (2000-2004),94,2000-2004
18208,tracking algorithms (2000-2004),tracking algorithms (2000-2004),94,2000-2004
18209,valid inequalities (2000-2004),valid inequalities (2000-2004),94,2000-2004
18210,fuzzy decision (2000-2004),fuzzy decision (2000-2004),94,2000-2004
18211,dynamic voltage scaling (2000-2004),dynamic voltage scaling (2000-2004),94,2000-2004
18212,client requests (2000-2004),client requests (2000-2004),94,2000-2004
18213,stochastic optimization (2000-2004),stochastic optimization (2000-2004),94,2000-2004
18214,support vectors (2000-2004),support vectors (2000-2004),94,2000-2004
18215,watermarking techniques (2000-2004),watermarking techniques (2000-2004),94,2000-2004
18216,frequency selective channels (2000-2004),frequency selective channels (2000-2004),94,2000-2004
18217,abstractrnrnthis article (2000-2004),abstractrnrnthis article (2000-2004),94,2000-2004
18218,linear kernel (2005-2009),linear kernel (2005-2009),94,2005-2009
18219,positive solution (2005-2009),positive solution (2005-2009),94,2005-2009
18220,low supply voltage (2005-2009),low supply voltage (2005-2009),94,2005-2009
18221,error diffusion (2005-2009),error diffusion (2005-2009),94,2005-2009
18222,fast handoff (2005-2009),fast handoff (2005-2009),94,2005-2009
18223,retrieval tasks (2005-2009),retrieval tasks (2005-2009),94,2005-2009
18224,minimizing energy consumption (2005-2009),minimizing energy consumption (2005-2009),94,2005-2009
18225,supporting multimedia (2005-2009),supporting multimedia (2005-2009),94,2005-2009
18226,soft handoff (2005-2009),soft handoff (2005-2009),94,2005-2009
18227,approximation guarantee (2005-2009),approximation guarantee (2005-2009),94,2005-2009
18228,protocol for wireless sensor networks (2005-2009),protocol for wireless sensor networks (2005-2009),94,2005-2009
18229,pipelined adc (2005-2009),pipelined adc (2005-2009),94,2005-2009
18230,delivery rate (2005-2009),delivery rate (2005-2009),94,2005-2009
18231,bit allocation (2005-2009),bit allocation (2005-2009),94,2005-2009
18232,sar image (2005-2009),sar image (2005-2009),94,2005-2009
18233,moment generating function mgf (2005-2009),moment generating function mgf (2005-2009),94,2005-2009
18234,based local search (2010-2014),based local search (2010-2014),94,2010-2014
18235,matrix equations (2010-2014),matrix equations (2010-2014),94,2010-2014
18236,animal model (2010-2014),animal model (2010-2014),94,2010-2014
18237,ancillary services (2010-2014),ancillary services (2010-2014),94,2010-2014
18238,digital image watermarking (2010-2014),digital image watermarking (2010-2014),94,2010-2014
18239,dynamic source routing dsr (2010-2014),dynamic source routing dsr (2010-2014),94,2010-2014
18240,dialogue management (2010-2014),dialogue management (2010-2014),94,2010-2014
18241,game theoretical (2010-2014),game theoretical (2010-2014),94,2010-2014
18242,misclassification rate (2010-2014),misclassification rate (2010-2014),94,2010-2014
18243,sinr model (2010-2014),sinr model (2010-2014),94,2010-2014
18244,evolutionary multiobjective optimization (2010-2014),evolutionary multiobjective optimization (2010-2014),94,2010-2014
18245,standby mode (2010-2014),standby mode (2010-2014),94,2010-2014
